DEPTH	Simplex_Low	Simplex_High	Duplex_Low	Duplex_High	Triplex_Low	Triplex_High	Tetraplex_Low	Tetraplex_High	Pentaplex_Low	Pentaplex_High
1	0	1	0	1	0	1	0	1	0	1
2	0	0.5	0	1	0	1	0	1	0.5	1
3	0	0.666666667	0	0.666666667	0	1	0.333333333	1	0.333333333	1
4	0	0.5	0	0.75	0	1	0.25	1	0.5	1
5	0	0.4	0	0.6	0.2	0.8	0.4	1	0.6	1
6	0	0.5	0	0.666666667	0.166666667	0.833333333	0.333333333	1	0.5	1
7	0	0.428571429	0	0.571428571	0.142857143	0.857142857	0.428571429	1	0.571428571	1
8	0	0.375	0.125	0.625	0.25	0.75	0.375	0.875	0.625	1
9	0	0.333333333	0.111111111	0.555555556	0.222222222	0.777777778	0.444444444	0.888888889	0.666666667	1
10	0	0.4	0.1	0.6	0.2	0.8	0.4	0.9	0.6	1
11	0	0.363636364	0.090909091	0.545454545	0.272727273	0.727272727	0.454545455	0.909090909	0.636363636	1
12	0	0.333333333	0.083333333	0.583333333	0.25	0.75	0.416666667	0.916666667	0.666666667	1
13	0	0.307692308	0.153846154	0.538461538	0.307692308	0.692307692	0.461538462	0.846153846	0.615384615	1
14	0	0.357142857	0.142857143	0.571428571	0.285714286	0.714285714	0.428571429	0.857142857	0.642857143	1
15	0	0.333333333	0.133333333	0.533333333	0.266666667	0.733333333	0.466666667	0.866666667	0.666666667	1
16	0	0.3125	0.125	0.5625	0.3125	0.6875	0.4375	0.875	0.6875	1
17	0.058823529	0.294117647	0.176470588	0.529411765	0.294117647	0.705882353	0.470588235	0.823529412	0.705882353	0.941176471
18	0.055555556	0.333333333	0.166666667	0.5	0.333333333	0.722222222	0.5	0.833333333	0.666666667	0.944444444
19	0.052631579	0.315789474	0.157894737	0.526315789	0.315789474	0.684210526	0.473684211	0.842105263	0.684210526	0.947368421
20	0.05	0.3	0.15	0.5	0.3	0.7	0.5	0.85	0.7	0.95
21	0.047619048	0.285714286	0.19047619	0.523809524	0.333333333	0.666666667	0.476190476	0.80952381	0.714285714	0.952380952
22	0.045454545	0.318181818	0.181818182	0.5	0.318181818	0.681818182	0.5	0.818181818	0.681818182	0.954545455
23	0.043478261	0.304347826	0.173913043	0.47826087	0.347826087	0.652173913	0.52173913	0.826086957	0.695652174	0.956521739
24	0.041666667	0.291666667	0.166666667	0.5	0.333333333	0.666666667	0.5	0.833333333	0.708333333	0.958333333
25	0.04	0.28	0.2	0.48	0.32	0.68	0.52	0.8	0.72	0.96
26	0.038461538	0.307692308	0.192307692	0.5	0.346153846	0.653846154	0.5	0.807692308	0.692307692	0.961538462
27	0.074074074	0.296296296	0.185185185	0.481481481	0.333333333	0.666666667	0.518518519	0.814814815	0.703703704	0.925925926
28	0.071428571	0.285714286	0.178571429	0.5	0.357142857	0.642857143	0.5	0.821428571	0.714285714	0.928571429
29	0.068965517	0.275862069	0.206896552	0.482758621	0.344827586	0.655172414	0.517241379	0.793103448	0.724137931	0.931034483
30	0.066666667	0.266666667	0.2	0.466666667	0.333333333	0.633333333	0.533333333	0.8	0.7	0.933333333
31	0.064516129	0.290322581	0.193548387	0.483870968	0.35483871	0.64516129	0.516129032	0.806451613	0.709677419	0.935483871
32	0.0625	0.28125	0.1875	0.46875	0.34375	0.65625	0.53125	0.8125	0.71875	0.9375
33	0.060606061	0.272727273	0.212121212	0.484848485	0.363636364	0.636363636	0.515151515	0.787878788	0.727272727	0.939393939
34	0.058823529	0.264705882	0.205882353	0.470588235	0.352941176	0.647058824	0.529411765	0.794117647	0.735294118	0.941176471
35	0.057142857	0.285714286	0.2	0.457142857	0.371428571	0.628571429	0.542857143	0.8	0.714285714	0.942857143
36	0.083333333	0.277777778	0.194444444	0.472222222	0.361111111	0.638888889	0.527777778	0.805555556	0.722222222	0.916666667
37	0.081081081	0.27027027	0.216216216	0.459459459	0.378378378	0.621621622	0.540540541	0.783783784	0.72972973	0.918918919
38	0.078947368	0.263157895	0.210526316	0.473684211	0.368421053	0.631578947	0.552631579	0.789473684	0.736842105	0.921052632
39	0.076923077	0.282051282	0.205128205	0.461538462	0.358974359	0.641025641	0.538461538	0.794871795	0.743589744	0.923076923
40	0.075	0.275	0.225	0.45	0.375	0.625	0.55	0.775	0.725	0.925
41	0.073170732	0.268292683	0.219512195	0.463414634	0.365853659	0.634146341	0.536585366	0.780487805	0.731707317	0.926829268
42	0.071428571	0.261904762	0.214285714	0.452380952	0.380952381	0.619047619	0.547619048	0.785714286	0.738095238	0.928571429
43	0.069767442	0.255813953	0.209302326	0.465116279	0.372093023	0.627906977	0.534883721	0.76744186	0.744186047	0.930232558
44	0.068181818	0.272727273	0.227272727	0.454545455	0.386363636	0.613636364	0.545454545	0.772727273	0.727272727	0.931818182
45	0.088888889	0.266666667	0.222222222	0.444444444	0.377777778	0.622222222	0.555555556	0.777777778	0.733333333	0.911111111
46	0.086956522	0.260869565	0.217391304	0.456521739	0.369565217	0.630434783	0.543478261	0.782608696	0.739130435	0.913043478
47	0.085106383	0.255319149	0.212765957	0.446808511	0.382978723	0.617021277	0.553191489	0.787234043	0.744680851	0.914893617
48	0.083333333	0.25	0.229166667	0.458333333	0.375	0.625	0.5625	0.770833333	0.75	0.916666667
49	0.081632653	0.265306122	0.224489796	0.448979592	0.387755102	0.612244898	0.551020408	0.775510204	0.734693878	0.918367347
50	0.08	0.26	0.22	0.44	0.38	0.62	0.56	0.78	0.74	0.92
51	0.078431373	0.254901961	0.235294118	0.450980392	0.392156863	0.607843137	0.549019608	0.784313725	0.745098039	0.921568627
52	0.076923077	0.25	0.230769231	0.442307692	0.384615385	0.615384615	0.557692308	0.769230769	0.75	0.923076923
53	0.094339623	0.264150943	0.226415094	0.433962264	0.377358491	0.603773585	0.566037736	0.773584906	0.754716981	0.905660377
54	0.092592593	0.259259259	0.222222222	0.444444444	0.388888889	0.611111111	0.555555556	0.777777778	0.740740741	0.907407407
55	0.090909091	0.254545455	0.236363636	0.436363636	0.381818182	0.6	0.563636364	0.763636364	0.745454545	0.909090909
56	0.089285714	0.25	0.232142857	0.428571429	0.392857143	0.607142857	0.571428571	0.767857143	0.75	0.910714286
57	0.087719298	0.245614035	0.228070175	0.438596491	0.385964912	0.614035088	0.561403509	0.771929825	0.754385965	0.912280702
58	0.086206897	0.25862069	0.24137931	0.431034483	0.396551724	0.603448276	0.568965517	0.75862069	0.74137931	0.913793103
59	0.084745763	0.254237288	0.237288136	0.440677966	0.389830508	0.610169492	0.559322034	0.762711864	0.745762712	0.915254237
60	0.083333333	0.25	0.233333333	0.433333333	0.4	0.6	0.566666667	0.766666667	0.75	0.9
61	0.098360656	0.245901639	0.229508197	0.442622951	0.393442623	0.606557377	0.573770492	0.770491803	0.754098361	0.901639344
62	0.096774194	0.241935484	0.241935484	0.435483871	0.387096774	0.596774194	0.564516129	0.758064516	0.758064516	0.903225806
63	0.095238095	0.253968254	0.238095238	0.428571429	0.396825397	0.603174603	0.571428571	0.761904762	0.761904762	0.904761905
64	0.09375	0.25	0.234375	0.4375	0.390625	0.609375	0.5625	0.765625	0.75	0.90625
65	0.092307692	0.246153846	0.246153846	0.430769231	0.4	0.6	0.569230769	0.769230769	0.753846154	0.907692308
66	0.090909091	0.242424242	0.242424242	0.424242424	0.393939394	0.606060606	0.575757576	0.757575758	0.757575758	0.909090909
67	0.089552239	0.23880597	0.23880597	0.432835821	0.402985075	0.597014925	0.567164179	0.76119403	0.76119403	0.910447761
68	0.088235294	0.25	0.235294118	0.426470588	0.397058824	0.602941176	0.573529412	0.764705882	0.75	0.911764706
69	0.101449275	0.246376812	0.246376812	0.420289855	0.405797101	0.594202899	0.565217391	0.753623188	0.753623188	0.898550725
70	0.1	0.242857143	0.242857143	0.428571429	0.4	0.6	0.571428571	0.757142857	0.757142857	0.9
71	0.098591549	0.23943662	0.23943662	0.422535211	0.394366197	0.591549296	0.577464789	0.76056338	0.76056338	0.901408451
72	0.097222222	0.236111111	0.25	0.430555556	0.402777778	0.597222222	0.569444444	0.763888889	0.763888889	0.902777778
73	0.095890411	0.246575342	0.246575342	0.424657534	0.397260274	0.589041096	0.575342466	0.753424658	0.753424658	0.904109589
74	0.094594595	0.243243243	0.243243243	0.432432432	0.405405405	0.594594595	0.581081081	0.756756757	0.756756757	0.905405405
75	0.106666667	0.24	0.24	0.426666667	0.4	0.6	0.573333333	0.746666667	0.76	0.906666667
76	0.105263158	0.236842105	0.25	0.421052632	0.407894737	0.592105263	0.578947368	0.763157895	0.763157895	0.894736842
77	0.103896104	0.233766234	0.246753247	0.428571429	0.402597403	0.597402597	0.571428571	0.753246753	0.766233766	0.896103896
78	0.102564103	0.243589744	0.243589744	0.423076923	0.41025641	0.58974359	0.576923077	0.756410256	0.769230769	0.897435897
79	0.101265823	0.240506329	0.253164557	0.417721519	0.405063291	0.594936709	0.582278481	0.746835443	0.759493671	0.898734177
80	0.1	0.2375	0.25	0.425	0.4125	0.5875	0.575	0.75	0.7625	0.9
81	0.098765432	0.234567901	0.24691358	0.419753086	0.407407407	0.592592593	0.580246914	0.75308642	0.765432099	0.901234568
