DEPTH	Simplex_Low	Simplex_High	Duplex_Low	Duplex_High	Triplex_Low	Triplex_High
1	0	1	0	1	0	1
2	0	1	0	1	0	1
3	0	0.666666667	0	1	0.333333333	1
4	0	0.75	0	1	0.5	1
5	0	0.6	0.2	0.8	0.4	1
6	0	0.5	0.166666667	0.833333333	0.5	1
7	0	0.571428571	0.142857143	0.857142857	0.428571429	1
8	0	0.5	0.25	0.75	0.5	1
9	0	0.555555556	0.222222222	0.777777778	0.555555556	1
10	0	0.5	0.2	0.8	0.5	1
11	0.090909091	0.454545455	0.272727273	0.727272727	0.545454545	0.909090909
12	0.083333333	0.5	0.25	0.75	0.5	0.916666667
13	0.076923077	0.461538462	0.307692308	0.692307692	0.538461538	0.923076923
14	0.071428571	0.428571429	0.285714286	0.714285714	0.571428571	0.928571429
15	0.066666667	0.466666667	0.266666667	0.733333333	0.533333333	0.933333333
16	0.0625	0.4375	0.3125	0.6875	0.5625	0.9375
17	0.058823529	0.411764706	0.294117647	0.705882353	0.588235294	0.882352941
18	0.111111111	0.444444444	0.333333333	0.666666667	0.555555556	0.888888889
19	0.105263158	0.421052632	0.315789474	0.684210526	0.578947368	0.894736842
20	0.1	0.4	0.3	0.7	0.6	0.9
21	0.095238095	0.428571429	0.333333333	0.666666667	0.571428571	0.904761905
22	0.090909091	0.409090909	0.318181818	0.681818182	0.590909091	0.909090909
23	0.130434783	0.391304348	0.347826087	0.652173913	0.608695652	0.913043478
24	0.125	0.416666667	0.333333333	0.666666667	0.583333333	0.875
25	0.12	0.4	0.32	0.68	0.6	0.88
26	0.115384615	0.384615385	0.346153846	0.653846154	0.615384615	0.884615385
27	0.111111111	0.407407407	0.333333333	0.666666667	0.592592593	0.888888889
28	0.107142857	0.392857143	0.357142857	0.642857143	0.607142857	0.892857143
29	0.137931034	0.379310345	0.344827586	0.655172414	0.620689655	0.862068966
30	0.133333333	0.4	0.366666667	0.666666667	0.6	0.866666667
31	0.129032258	0.387096774	0.35483871	0.64516129	0.612903226	0.870967742
32	0.125	0.375	0.34375	0.65625	0.625	0.875
33	0.121212121	0.363636364	0.363636364	0.636363636	0.606060606	0.878787879
34	0.147058824	0.382352941	0.352941176	0.647058824	0.617647059	0.852941176
